Log,Conc,Rep,Compound,Rab10
0,0,1,895,0.981472
0,1,1,895,1.041578
0.477121,3,1,895,1.143691
1,10,1,895,0.963412
1.477121,30,1,895,0.728971
2,100,1,895,0.554521
2.477121,300,1,895,0.468308
3,1000,1,895,0.354702
3.477121,3000,1,895,0.387368
4,10000,1,895,0.314855
0,0,2,895,1.018528
0,1,2,895,1.06156
0.477121,3,2,895,1.131303
1,10,2,895,0.962536
1.477121,30,2,895,0.597212
2,100,2,895,0.530948
2.477121,300,2,895,0.458042
3,1000,2,895,0.390094
3.477121,3000,2,895,0.409989
4,10000,2,895,0.38841
